0;Live: Έκκληση Πέτσα για λίγους στο ρεβεγιόν – Δεν απέκλεισε μέτρα σε Δυτική Αττική και Κοζάνη;Newsit;https://news.google.com/__i/rss/rd/articles/CBMigAFodHRwczovL3d3dy5uZXdzaXQuZ3IvZWxsYWRhL0xpdmUtZWtrbGlzaS1wZXRzYS1naWEtbGlnb3VzLXN0by1yZXZlZ2lvbi1kZW4tYXBla2xlaXNlLW1ldHJhLXNlLWR5dGlraS1hdHRpa2kta2FpLWtvemFuaS8zMTgzNTUyL9IBhAFodHRwczovL3d3dy5uZXdzaXQuZ3IvZWxsYWRhL0xpdmUtZWtrbGlzaS1wZXRzYS1naWEtbGlnb3VzLXN0by1yZXZlZ2lvbi1kZW4tYXBla2xlaXNlLW1ldHJhLXNlLWR5dGlraS1hdHRpa2kta2FpLWtvemFuaS8zMTgzNTUyL2FtcC8?oc=5
0;Πέτσας: Αυστηρότερα μέτρα στις "κόκκινες" περιοχές - Ανακοινώσεις το απόγευμα από τον Χαρδαλιά [live];The TOC;https://news.google.com/__i/rss/rd/articles/CBMilAFodHRwczovL3d3dy50aGV0b2MuZ3IvcG9saXRpa2kvYXJ0aWNsZS9saXZlLW8tc3RlbGlvcy1wZXRzYXMtYW5vaWdlaS1vLWRyb21vcy1naWEtc2tsaXJhLXRvcGlrYS1sb2NrZG93bi0tYW5ha29pbm9zZWlzLXRvLWFwb2dldW1hLWFwby10b24teGFyZGFsaWEv0gGdAWh0dHBzOi8vd3d3LnRoZXRvYy5nci9wb2xpdGlraS9hcnRpY2xlL2xpdmUtby1zdGVsaW9zLXBldHNhcy1hbm9pZ2VpLW8tZHJvbW9zLWdpYS1za2xpcmEtdG9waWthLWxvY2tkb3duLS1hbmFrb2lub3NlaXMtdG8tYXBvZ2V1bWEtYXBvLXRvbi14YXJkYWxpYS8_YW1wPXRydWU?oc=5
0;Πέτσας: Μέτρα για Δυτική Αττική και Κοζάνη ακόμα και εντός της ημέρας;NewsIT;https://news.google.com/__i/rss/rd/articles/CBMiamh0dHBzOi8vd3d3Lm5ld3NpdC5nci9lbGxhZGEvcGV0c2FzLW1ldHJhLWdpYS1keXRpa2ktYXR0aWtpLWthaS1rb3phbmktYWtvbWEta2FpLWVudG9zLXRpcy1pbWVyYXMvMzE4MzU1Mi_SAW5odHRwczovL3d3dy5uZXdzaXQuZ3IvZWxsYWRhL3BldHNhcy1tZXRyYS1naWEtZHl0aWtpLWF0dGlraS1rYWkta296YW5pLWFrb21hLWthaS1lbnRvcy10aXMtaW1lcmFzLzMxODM1NTIvYW1wLw?oc=5
1;Φον ντερ Λάιεν: Ξεκινούν σε 10 ημέρες οι εμβολιασμοί στην ΕΕ;Liberal;https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vd3d3LmxpYmVyYWwuZ3IvbmV3cy9mb24tbnRlci1sYWllbi14ZWtpbm91bi1zZS0xMC1pbWVyZXMtb2ktZW1ib2xpYXNtb2ktc3Rpbi1lZS8zNDM2NTXSAQA?oc=5
1;Εμβολιασμός για τον κορωνοϊό στην Ευρώπη: Στις 27 Δεκεμβρίου ξεκινά, λέει η Φον ντερ Λάιεν;Πρώτο Θέμα;https://news.google.com/__i/rss/rd/articles/CBMidWh0dHBzOi8vd3d3LnByb3RvdGhlbWEuZ3Iva29yb25vaW9zLWxpdmUvYXJ0aWNsZS8xMDc1OTM1L2Zvbi1kZXItbGFpZW4tc3Rpcy0yNy0yOC0yOS1kZWtlbXZyaW91LXhla2luYS1vLWVtdm9saWFzbW9zL9IBAA?oc=5
1;Εμβόλιο κορονοϊού: Ξεκινάμε στις 27, 28 και 29 Δεκεμβρίου ανακοίνωσε η φον ντερ Λάιεν;Newsbomb;https://news.google.com/__i/rss/rd/articles/CBMigAFodHRwczovL3d3dy5uZXdzYm9tYi5nci9rb3Ntb3Mvc3RvcnkvMTE0ODE3Ny9lbXZvbGlvLWtvcm9ub2lveS14ZWtpbmFtZS1zdGlzLTI3LTI4LWthaS0yOS1kZWtlbXZyaW95LWFuYWtvaW5vc2UtaS1mb24tbnRlci1sYWllbtIBgAFodHRwczovL2FtcC5uZXdzYm9tYi5nci9rb3Ntb3Mvc3RvcnkvMTE0ODE3Ny9lbXZvbGlvLWtvcm9ub2lveS14ZWtpbmFtZS1zdGlzLTI3LTI4LWthaS0yOS1kZWtlbXZyaW95LWFuYWtvaW5vc2UtaS1mb24tbnRlci1sYWllbg?oc=5
1;Οι εμβολιασμοί στην ΕΕ ξεκινούν 27,28 και 29 Δεκεμβρίου – Ανακοινώσεις από την Κομισιόν;NewsIT;https://news.google.com/__i/rss/rd/articles/CBMifGh0dHBzOi8vd3d3Lm5ld3NpdC5nci9lbGxhZGEvb2ktZW12b2xpYXNtb2ktc3Rpbi1lZS1rc2VraW5vdW4tMjctMjgta2FpLTI5LWRla2VtdnJpb3UtYW5ha29pbm9zZWlzLWFwby10aW4ta29taXNpb24vMzE4MzY1MS_SAYABaHR0cHM6Ly93d3cubmV3c2l0LmdyL2VsbGFkYS9vaS1lbXZvbGlhc21vaS1zdGluLWVlLWtzZWtpbm91bi0yNy0yOC1rYWktMjktZGVrZW12cmlvdS1hbmFrb2lub3NlaXMtYXBvLXRpbi1rb21pc2lvbi8zMTgzNjUxL2FtcC8?oc=5
1;Φον ντερ Λάιεν: Στις 27, 28, 29 Δεκεμβρίου ξεκινάει ο εμβολιασμός στην Ε.Ε.;Η Εφημερίδα των Συντακτών;https://news.google.com/__i/rss/rd/articles/CBMiIGh0dHBzOi8vd3d3LmVmc3luLmdyL25vZGUvMjczMzQ00gEA?oc=5
2;Κύκλωμα κοκαΐνης: Σάλος στην κοσμική Αθήνα – Η τραγουδίστρια, ο ράπερ, ο αθλητής και οι δικηγόροι;Newsbomb;https://news.google.com/__i/rss/rd/articles/CBMinwFodHRwczovL3d3dy5uZXdzYm9tYi5nci9lbGxhZGEvYXN0eW5vbWlrby1yZXBvcnRhei9zdG9yeS8xMTQ4MjE3L2t5a2xvbWEta29rYWluaXMtc2Fsb3Mtc3Rpbi1rb3NtaWtpLWF0aGluYS1oLXRyYWdveWRpc3RyaWEtby1yYXBlci1vLWF0aGxpdGlzLWthaS1vaS1kaWtpZ29yb2nSAZ8BaHR0cHM6Ly9hbXAubmV3c2JvbWIuZ3IvZWxsYWRhL2FzdHlub21pa28tcmVwb3J0YXovc3RvcnkvMTE0ODIxNy9reWtsb21hLWtva2FpbmlzLXNhbG9zLXN0aW4ta29zbWlraS1hdGhpbmEtaC10cmFnb3lkaXN0cmlhLW8tcmFwZXItby1hdGhsaXRpcy1rYWktb2ktZGlraWdvcm9p?oc=5
2;Δίκτυο "delivery" κοκαΐνης σε μέλη της showbiz;Zougla;https://news.google.com/__i/rss/rd/articles/CBMiSWh0dHBzOi8vd3d3LnpvdWdsYS5nci9ncmVlY2UvYXJ0aWNsZS9kZWxpdmVyeS1rb2thbmlzLXNlLW1lbGktdGlzLXNob3diaXrSAQA?oc=5
